"triad_id";"llm_id";"question_id";"subject";"predicate";"object";"rdf_candidate";"source_id";"source_location";"evidence_text";"evidence_type";"confidence";"expert_validation_required";"candidate_status";"notes"
"LLM_1_ALC-07_001";"LLM_1";"ALC-07";"Bioreactor";"monitors";"pH";":Bioreactor :monitors :pH .";"SRC-001";"Introducción";"onlinemonitoring of common cultivation parameters such as biomass, pH, dissolved oxygen (DO) and fluorescence";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_002";"LLM_1";"ALC-07";"Bioreactor";"monitors";"DissolvedOxygen";":Bioreactor :monitors :DissolvedOxygen .";"SRC-001";"Introducción";"onlinemonitoring of common cultivation parameters such as biomass, pH, dissolved oxygen (DO) and fluorescence";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_003";"LLM_1";"ALC-07";"Bioreactor";"monitors";"Biomass";":Bioreactor :monitors :Biomass .";"SRC-004";"Online Monitoring";"enable online measurement of biomass, fluorescences, pH and DO";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_004";"LLM_1";"ALC-07";"MicrofluidicTechnology";"supports";"pHControl";":MicrofluidicTechnology :supports :pHControl .";"SRC-004";"Online Monitoring";"supports simultaneous pH control and feeding";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_005";"LLM_1";"ALC-07";"MicrofluidicTechnology";"supports";"Feeding";":MicrofluidicTechnology :supports :Feeding .";"SRC-004";"Online Monitoring";"supports simultaneous pH control and feeding";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_006";"LLM_1";"ALC-07";"ControlTower";"contains";"AerationModule";":ControlTower :contains :AerationModule .";"SRC-011";"Control Tower";"contains both the aeration, pump and temperature control modules";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_007";"LLM_1";"ALC-07";"ControlTower";"contains";"PumpModule";":ControlTower :contains :PumpModule .";"SRC-011";"Control Tower";"contains both the aeration, pump and temperature control modules";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_008";"LLM_1";"ALC-07";"ControlTower";"contains";"TemperatureControlModule";":ControlTower :contains :TemperatureControlModule .";"SRC-011";"Control Tower";"contains both the aeration, pump and temperature control modules";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_009";"LLM_1";"ALC-07";"Vessel";"hasPump";"Pump";":Vessel :hasPump :Pump .";"SRC-015";"Pump Module";"Up to four internal pumps can be selected per vessel";"Explícita";"Alta";"No";"CANDIDATE";"máx 4 no expresado en triada"
"LLM_1_ALC-07_010";"LLM_1";"ALC-07";"pHControl";"uses";"Acid";":pHControl :uses :Acid .";"SRC-006";"Technical Specifications";"pH control By acid or/and alkali";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_011";"LLM_1";"ALC-07";"pHControl";"uses";"Alkali";":pHControl :uses :Alkali .";"SRC-006";"Technical Specifications";"pH control By acid or/and alkali";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_012";"LLM_1";"ALC-07";"Bioreactor";"operatesIn";"Fedbatch";":Bioreactor :operatesIn :Fedbatch .";"SRC-010";"Applications";"Process Modes | - Batch | - Fedbatch | - Continuous | - Perfusion";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC-07_013";"LLM_1";"ALC-07";"System";"hasComponent";"AlarmContact";":System :hasComponent :AlarmContact .";"SRC-018";"Specifications";"Potentialfree (common) alarm contact";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
