"triad_id";"llm_id";"question_id";"subject";"predicate";"object";"rdf_candidate";"source_id";"source_location";"evidence_text";"evidence_type";"confidence";"expert_validation_required";"candidate_status";"notes"
"LLM_3_ALC_04_001";"LLM_3";"ALC_04";":BioLectorXT";"rdf:type";":Bioreactor";":BioLectorXT rdf:type :Bioreactor .";"SRC-001";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"BioLector XT microbioreactor clasificado como sistema de cultivo";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_002";"LLM_3";"ALC_04";":Sartorius5L";"rdf:type";":Bioreactor";":Sartorius5L rdf:type :Bioreactor .";"SRC-003, SRC-004";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"BIOSTAT B con recipiente de 5 L";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_003";"LLM_3";"ALC_04";":Sartorius10L";"rdf:type";":Bioreactor";":Sartorius10L rdf:type :Bioreactor .";"SRC-003, SRC-004";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"BIOSTAT B con recipiente de 10 L";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_004";"LLM_3";"ALC_04";":BioLectorXT";":hasCultureVessel";":MicrotiterPlate";":BioLectorXT :hasCultureVessel :MicrotiterPlate .";"SRC-001";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"based on a standard ANSI/SLAS (SBS) microtiter plate";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_005";"LLM_3";"ALC_04";":Sartorius5L";":hasCultureVessel";":GlassVessel_5L";":Sartorius5L :hasCultureVessel :GlassVessel_5L .";"SRC-003, SRC-004";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"autoclavable borosilicate glass culture vessel 5 L";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_006";"LLM_3";"ALC_04";":Sartorius10L";":hasCultureVessel";":GlassVessel_10L";":Sartorius10L :hasCultureVessel :GlassVessel_10L .";"SRC-003, SRC-004";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"autoclavable borosilicate glass culture vessel 10 L";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_007";"LLM_3";"ALC_04";":MicrotiterPlate";":hasWorkingVolume";"\"0.002–0.0024\"";":MicrotiterPlate :hasWorkingVolume \"0.002–0.0024\"";"SRC-006";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"2,000 µL...maximum volumes to 2,400 µL (expresado en L)";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_008";"LLM_3";"ALC_04";":GlassVessel_5L";":hasWorkingVolume";"\"0.6–5\"";":GlassVessel_5L :hasWorkingVolume \"0.6–5\"";"SRC-004";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"5L (0.6-5L)";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_009";"LLM_3";"ALC_04";":GlassVessel_10L";":hasWorkingVolume";"\"1.5–10\"";":GlassVessel_10L :hasWorkingVolume \"1.5–10\"";"SRC-004";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"10L (1.5-10L)";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
"LLM_3_ALC_04_010";"LLM_3";"ALC_04";":BioLectorXT";":hasSensor";":pHSensor";":BioLectorXT :hasSensor :pHSensor .";"SRC-001, SRC-006";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"Sensor óptico HP8 / LG1; measurement of pH (LG1)";"Explícita";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"No";"CANDIDATE";"Estado: Soportada"
