"triad_id";"llm_id";"question_id";"subject";"predicate";"object";"rdf_candidate";"source_id";"source_location";"evidence_text";"evidence_type";"confidence";"expert_validation_required";"candidate_status";"notes"
"LLM_2_ALC_04_001";"LLM_2";"ALC_04";"BioLectorXT";"hasProcessParameter";"ShakingSpeed";":BioLectorXT :hasProcessParameter :ShakingSpeed .";"SRC-001";"Cultivation conditions";"SHAKING SPEED 100 – 1500 rpm";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_002";"LLM_2";"ALC_04";"OxygenOptode";"observesParameter";"DissolvedOxygen";":OxygenOptode :observesParameter :DissolvedOxygen .";"SRC-001";"Cultivation conditions";"OXYGEN OPTODES 0 – 100 % dissolved oxygen";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_003";"LLM_2";"ALC_04";"pHOptode";"observesParameter";"pH";":pHOptode :observesParameter :pH .";"SRC-001";"Cultivation conditions";"pH OPTODES pH 4 – 7.5";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_004";"LLM_2";"ALC_04";"BiostatB";"hasVolumeSpecification";"FiveLiterVolume";":BiostatB :hasVolumeSpecification :FiveLiterVolume .";"SRC-002";"p. 22";"Volume: 1 L, 2 L, 5 L or 10 L";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_005";"LLM_2";"ALC_04";"BiostatB";"hasVolumeSpecification";"TenLiterVolume";":BiostatB :hasVolumeSpecification :TenLiterVolume .";"SRC-002";"p. 22";"Volume: 1 L, 2 L, 5 L or 10 L";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_006";"LLM_2";"ALC_04";"BiostatB";"regulatesParameter";"Temperature";":BiostatB :regulatesParameter :Temperature .";"SRC-002";"p. 22";"Control temperature";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_007";"LLM_2";"ALC_04";"BiostatB";"regulatesParameter";"pH";":BiostatB :regulatesParameter :pH .";"SRC-002";"p. 22";"Control ... pH";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_008";"LLM_2";"ALC_04";"BiostatB";"regulatesParameter";"DissolvedOxygen";":BiostatB :regulatesParameter :DissolvedOxygen .";"SRC-002";"p. 22";"Control ... DO";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_009";"LLM_2";"ALC_04";"BiostatB";"regulatesParameter";"StirrerSpeed";":BiostatB :regulatesParameter :StirrerSpeed .";"SRC-002";"p. 22";"Control ... stirrer speed";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_010";"LLM_2";"ALC_04";"BiostatB";"hasComponent";"pHControlPump";":BiostatB :hasComponent :pHControlPump .";"SRC-002";"p. 22";"2 integrated pumps for pH control";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_011";"LLM_2";"ALC_04";"BioLectorXT";"hasProcessParameter";"DissolvedOxygen";":BioLectorXT :hasProcessParameter :DissolvedOxygen .";"SRC-001";"Cultivation conditions";"La fuente documenta optodos de oxígeno y porcentaje de oxígeno disuelto.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_012";"LLM_2";"ALC_04";"BioLectorXT";"hasProcessParameter";"pH";":BioLectorXT :hasProcessParameter :pH .";"SRC-001";"Cultivation conditions";"La fuente documenta optodos y rango de pH.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC_04_013";"LLM_2";"ALC_04";"BioLectorXT";"hasMixingSpeed";"ShakingSpeed";":BioLectorXT :hasMixingSpeed :ShakingSpeed .";"SRC-001";"Cultivation conditions";"La fuente documenta velocidad de agitación.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
