"triad_id";"llm_id";"question_id";"subject";"predicate";"object";"rdf_candidate";"source_id";"source_location";"evidence_text";"evidence_type";"confidence";"expert_validation_required";"candidate_status";"notes"
"LLM_3_ALC_05_001";"LLM_3";"ALC_05";"ex:PhysicalBioreactor";"rdfs:subClassOf";"bfo:MaterialEntity";"ex:PhysicalBioreactor rdfs:subClassOf bfo:MaterialEntity .";"SRC-007";"División Continuant/Occurrent BFO";"BFO divide las entidades en dos categorías disjuntas: continuant y occurrent. Los continuants consisten en objetos y regiones espaciales, y pueden permanecer a través del tiempo.";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_05_002";"LLM_3";"ALC_05";"ex:PhysicalBioreactor";"rdfs:subClassOf";"ssn:System";"ex:PhysicalBioreactor rdfs:subClassOf ssn:System .";"SRC-001";"Sección SSN System";"En SSN, un ssn:System es una abstracción para un dispositivo físico que puede contener otros sistemas, y se describe en términos de un conjunto de ssn-system:SystemCapability.";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_05_003";"LLM_3";"ALC_05";"ex:BioLectorXT_unit01";"rdf:type";"ex:PhysicalBioreactor";"ex:BioLectorXT_unit01 rdf:type ex:PhysicalBioreactor .";"SRC-005";"Figura 7 NIST (biorreactor como entidad individual)";"As an example of application-level ontology for biomanufacturing, consider a bioreactor (an essential biomanufacturing equipment) and its digital twin.";"inferida";"media";"sí";"CANDIDATE";"Requiere validación experta para nomenclatura de individuos"
"LLM_3_ALC_05_004";"LLM_3";"ALC_05";"ex:BiologicalCultivationProcess";"rdfs:subClassOf";"bfo:Process";"ex:BiologicalCultivationProcess rdfs:subClassOf bfo:Process .";"SRC-007, SRC-004";"BFO: Process como occurrent; MCBO: CellCultureProcess";"BFO divide entidades en continuants y occurrents; los procesos son occurrents. MCBO define MammalianCellCultureProcess como subclase de CellCultureProcess, un occurrent BFO.";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_05_005";"LLM_3";"ALC_05";"ex:CellCultureProcess";"rdfs:subClassOf";"ex:BiologicalCultivationProcess";"ex:CellCultureProcess rdfs:subClassOf ex:BiologicalCultivationProcess .";"SRC-004";"MCBO: definición de CellCultureProcess";"MammalianCellCultureProcess is defined as the intersection of CellCultureProcess and a participant restriction requiring at least one MammalianCell.";"inferida";"media";"sí";"CANDIDATE";"Parcialmente soportada; generalización más allá de mamíferos es inferida"
"LLM_3_ALC_05_006";"LLM_3";"ALC_05";"ex:CultivationRun_20240115";"rdf:type";"ex:BiologicalCultivationProcess";"ex:CultivationRun_20240115 rdf:type ex:BiologicalCultivationProcess .";"SRC-004";"Patrón MCBO de instanciación de procesos";"MammalianCellCultureProcess is defined as the intersection of CellCultureProcess and a participant restriction requiring at least one MammalianCell.";"inferida";"media";"sí";"CANDIDATE";"Requiere validación experta; identificador de individuo es ilustrativo"
"LLM_3_ALC_05_007";"LLM_3";"ALC_05";"ex:CultivationRun_20240115";"ex:supportsedBy";"ex:BioLectorXT_unit01";"ex:CultivationRun_20240115 ex:supportsedBy ex:BioLectorXT_unit01 .";"SRC-007";"BFO: proceso depende de entidad material";"BFO: la estructura se basa en una división de entidades en continuant y occurrent; los procesos son occurrents que dependen de entidades materiales.";"inferida";"media";"sí";"CANDIDATE";"Relación BFO exacta requiere validación experta; nombre de propiedad provisional"
"LLM_3_ALC_05_008";"LLM_3";"ALC_05";"ex:ControlSystem";"rdfs:subClassOf";"ssn:System";"ex:ControlSystem rdfs:subClassOf ssn:System .";"SRC-001, SRC-008";"Sección SSN System; sección implementación OWL 2 ISA-88";"En SSN, un ssn:System es una abstracción para un dispositivo físico que puede contener otros sistemas. Los modelos ISA-88 se dividen en módulos ontológicos OWL 2.";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_05_009";"LLM_3";"ALC_05";"ex:BioreactorActuator";"rdfs:subClassOf";"sosa:Actuator";"ex:BioreactorActuator rdfs:subClassOf sosa:Actuator .";"SRC-001";"Sección SOSA core: Actuator";"sosa:Actuator son dispositivos que implementan procedimientos SOSA para alterar el estado del entorno.";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_05_010";"LLM_3";"ALC_05";"ex:CO2_Valve_unit01";"rdf:type";"ex:BioreactorActuator";"ex:CO2_Valve_unit01 rdf:type ex:BioreactorActuator .";"SRC-001, SRC-005";"Sección SOSA core: Actuator; Figura 7 NIST";"Actuators and the data they produce also become first-class citizens of the Web. Simulation results from a digital twin of the bioreactor are used to control the parameters of actuators of the bioreactor.";"inferida";"media";"sí";"CANDIDATE";"Identificador de individuo es ilustrativo; requiere validación con configuración real del equipo"
